# Map of average order parameters calculated for atom type POPC-C22-32 of molecule type POPC.
# Calculated with 'gorder v0.4.0'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($-S_{CH}$)
@ zrange -1.0 0.5 0.25
$ type colorbar
$ colormap seismic_r
0.7000 1.3000 0.0926
0.7000 1.4000 0.1111
0.7000 1.5000 0.1189
0.7000 1.6000 0.0990
0.7000 1.7000 0.1042
0.7000 1.8000 0.1115
0.7000 1.9000 0.0703
0.7000 2.0000 0.0823
0.7000 2.1000 0.0771
0.7000 2.2000 0.0632
0.7000 2.3000 0.0726
0.7000 2.4000 0.0753
0.7000 2.5000 0.0868
0.7000 2.6000 0.0758
0.7000 2.7000 0.0919
0.7000 2.8000 0.0799
0.7000 2.9000 0.0724
0.7000 3.0000 0.0684
0.7000 3.1000 0.0751
0.7000 3.2000 0.0896
0.7000 3.3000 0.0701
0.7000 3.4000 0.0867
0.7000 3.5000 0.0795
0.7000 3.6000 0.0931
0.7000 3.7000 0.0867
0.7000 3.8000 0.0982
0.7000 3.9000 0.0892
0.7000 4.0000 0.1111
0.7000 4.1000 0.0833
0.7000 4.2000 0.0891
0.7000 4.3000 0.0946
0.7000 4.4000 0.0984
0.7000 4.5000 0.0873
0.7000 4.6000 0.0880
0.7000 4.7000 0.0969
0.7000 4.8000 0.0858
0.7000 4.9000 0.1064
0.7000 5.0000 0.1170
0.7000 5.1000 0.0910
0.7000 5.2000 0.0765
0.7000 5.3000 0.0936
0.7000 5.4000 0.1021
0.7000 5.5000 0.0823
0.7000 5.6000 0.0891
0.7000 5.7000 0.0868
0.7000 5.8000 0.1092
0.7000 5.9000 0.0928
0.7000 6.0000 0.0912
0.7000 6.1000 0.0951
0.7000 6.2000 0.0688
0.7000 6.3000 0.1060
0.7000 6.4000 0.1072
0.7000 6.5000 0.0863
0.7000 6.6000 0.0778
0.7000 6.7000 0.0667
0.7000 6.8000 0.0583
0.7000 6.9000 0.0626
0.7000 7.0000 0.0680
0.7000 7.1000 0.0991
0.7000 7.2000 0.1063
0.7000 7.3000 0.0798
0.7000 7.4000 0.0838
0.7000 7.5000 0.1043
0.7000 7.6000 0.0971
0.7000 7.7000 0.0965
0.7000 7.8000 0.0961
0.7000 7.9000 0.1094
0.7000 8.0000 0.0903
0.7000 8.1000 0.0959
0.7000 8.2000 0.0818
0.7000 8.3000 0.0881
0.7000 8.4000 0.0959
0.7000 8.5000 0.1063
0.7000 8.6000 0.1206
0.7000 8.7000 0.1251
0.7000 8.8000 0.1146
0.7000 8.9000 0.1208
0.7000 9.0000 0.0942
0.7000 9.1000 0.0943
0.8000 0.0000 0.0839
0.8000 0.1000 0.0959
0.8000 0.2000 0.0941
0.8000 0.3000 0.0695
0.8000 0.4000 0.0864
0.8000 0.5000 0.1046
0.8000 0.6000 0.0853
0.8000 0.7000 0.0912
0.8000 0.8000 0.0925
0.8000 0.9000 0.0747
