# Map of average order parameters calculated for all bonds of all molecule types.
# Calculated with 'gorder v0.5.0-dev.1'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($-S_{CH}$)
@ zrange -1.0 0.5 0.25
$ type colorbar
$ colormap seismic_r
0.8000 6.3000 0.1503
0.8000 6.4000 0.1555
0.8000 6.5000 0.1601
0.8000 6.6000 NaN
0.8000 6.7000 NaN
0.8000 6.8000 NaN
0.8000 6.9000 NaN
0.8000 7.0000 NaN
0.8000 7.1000 NaN
0.8000 7.2000 NaN
0.8000 7.3000 NaN
0.8000 7.4000 NaN
0.8000 7.5000 NaN
0.8000 7.6000 NaN
0.8000 7.7000 NaN
0.8000 7.8000 NaN
0.8000 7.9000 NaN
0.9000 0.0000 NaN
0.9000 0.1000 NaN
0.9000 0.2000 NaN
0.9000 0.3000 NaN
0.9000 0.4000 NaN
0.9000 0.5000 NaN
0.9000 0.6000 NaN
0.9000 0.7000 NaN
0.9000 0.8000 NaN
0.9000 0.9000 NaN
0.9000 1.0000 NaN
0.9000 1.1000 NaN
0.9000 1.2000 NaN
0.9000 1.3000 NaN
0.9000 1.4000 NaN
0.9000 1.5000 0.1549
0.9000 1.6000 0.1420
0.9000 1.7000 0.1505
0.9000 1.8000 0.1552
0.9000 1.9000 0.1417
0.9000 2.0000 0.1471
0.9000 2.1000 0.1465
0.9000 2.2000 0.1472
0.9000 2.3000 0.1429
0.9000 2.4000 0.1456
0.9000 2.5000 0.1439
0.9000 2.6000 0.1478
0.9000 2.7000 0.1439
0.9000 2.8000 0.1463
0.9000 2.9000 0.1450
0.9000 3.0000 0.1515
0.9000 3.1000 0.1425
0.9000 3.2000 0.1413
0.9000 3.3000 0.1420
0.9000 3.4000 0.1379
0.9000 3.5000 0.1330
0.9000 3.6000 0.1265
0.9000 3.7000 0.1311
0.9000 3.8000 0.1403
0.9000 3.9000 0.1398
0.9000 4.0000 0.1462
0.9000 4.1000 0.1449
0.9000 4.2000 0.1451
0.9000 4.3000 0.1444
0.9000 4.4000 0.1483
0.9000 4.5000 0.1389
0.9000 4.6000 0.1409
0.9000 4.7000 0.1394
0.9000 4.8000 0.1411
0.9000 4.9000 0.1304
0.9000 5.0000 0.1412
0.9000 5.1000 0.1366
0.9000 5.2000 0.1361
0.9000 5.3000 0.1396
0.9000 5.4000 0.1379
0.9000 5.5000 0.1493
0.9000 5.6000 0.1479
0.9000 5.7000 0.1552
0.9000 5.8000 0.1463
0.9000 5.9000 0.1557
0.9000 6.0000 0.1468
0.9000 6.1000 0.1555
0.9000 6.2000 0.1501
0.9000 6.3000 0.1470
0.9000 6.4000 0.1581
0.9000 6.5000 0.1513
0.9000 6.6000 NaN
0.9000 6.7000 NaN
0.9000 6.8000 NaN
0.9000 6.9000 NaN
0.9000 7.0000 NaN
0.9000 7.1000 NaN
0.9000 7.2000 NaN
0.9000 7.3000 NaN
0.9000 7.4000 NaN
0.9000 7.5000 NaN
0.9000 7.6000 NaN
0.9000 7.7000 NaN
0.9000 7.8000 NaN
0.9000 7.9000 NaN
1.0000 0.0000 NaN
1.0000 0.1000 NaN
1.0000 0.2000 NaN
1.0000 0.3000 NaN
1.0000 0.4000 NaN
1.0000 0.5000 NaN
1.0000 0.6000 NaN
1.0000 0.7000 NaN
1.0000 0.8000 NaN
1.0000 0.9000 NaN
1.0000 1.0000 NaN
1.0000 1.1000 NaN
1.0000 1.2000 NaN
1.0000 1.3000 NaN
1.0000 1.4000 NaN
1.0000 1.5000 0.1348
1.0000 1.6000 0.1437
1.0000 1.7000 0.1389
1.0000 1.8000 0.1561
1.0000 1.9000 0.1372
1.0000 2.0000 0.1486
1.0000 2.1000 0.1550
1.0000 2.2000 0.1484
1.0000 2.3000 0.1401
1.0000 2.4000 0.1444
1.0000 2.5000 0.1474
1.0000 2.6000 0.1516
1.0000 2.7000 0.1435
1.0000 2.8000 0.1463
1.0000 2.9000 0.1405
1.0000 3.0000 0.1468
1.0000 3.1000 0.1489
1.0000 3.2000 0.1409
1.0000 3.3000 0.1426
1.0000 3.4000 0.1337
1.0000 3.5000 0.1344
1.0000 3.6000 0.1294
1.0000 3.7000 0.1297
1.0000 3.8000 0.1343
1.0000 3.9000 0.1279
1.0000 4.0000 0.1435
1.0000 4.1000 0.1438
1.0000 4.2000 0.1400
1.0000 4.3000 0.1415
1.0000 4.4000 0.1362
1.0000 4.5000 0.1412
1.0000 4.6000 0.1466
1.0000 4.7000 0.1427
1.0000 4.8000 0.1494
1.0000 4.9000 0.1411
1.0000 5.0000 0.1471
1.0000 5.1000 0.1391
1.0000 5.2000 0.1429
1.0000 5.3000 0.1360
1.0000 5.4000 0.1380
1.0000 5.5000 0.1389
1.0000 5.6000 0.1379
1.0000 5.7000 0.1403
1.0000 5.8000 0.1396
1.0000 5.9000 0.1512
1.0000 6.0000 0.1466
1.0000 6.1000 0.1524
1.0000 6.2000 0.1476
1.0000 6.3000 0.1530
1.0000 6.4000 0.1534
1.0000 6.5000 0.1549
1.0000 6.6000 NaN
1.0000 6.7000 NaN
1.0000 6.8000 NaN
1.0000 6.9000 NaN
1.0000 7.0000 NaN
1.0000 7.1000 NaN
1.0000 7.2000 NaN
1.0000 7.3000 NaN
1.0000 7.4000 NaN
1.0000 7.5000 NaN
1.0000 7.6000 NaN
1.0000 7.7000 NaN
1.0000 7.8000 NaN
1.0000 7.9000 NaN
1.1000 0.0000 NaN
1.1000 0.1000 NaN
1.1000 0.2000 NaN
1.1000 0.3000 NaN
1.1000 0.4000 NaN
1.1000 0.5000 NaN
1.1000 0.6000 NaN
1.1000 0.7000 NaN
1.1000 0.8000 NaN
1.1000 0.9000 NaN
1.1000 1.0000 NaN
1.1000 1.1000 NaN
1.1000 1.2000 NaN
1.1000 1.3000 NaN
1.1000 1.4000 NaN
1.1000 1.5000 0.1423
1.1000 1.6000 0.1398
1.1000 1.7000 0.1392
1.1000 1.8000 0.1468
1.1000 1.9000 0.1498
1.1000 2.0000 0.1513
1.1000 2.1000 0.1481
1.1000 2.2000 0.1449
1.1000 2.3000 0.1455
1.1000 2.4000 0.1457
1.1000 2.5000 0.1467
1.1000 2.6000 0.1440
1.1000 2.7000 0.1466
1.1000 2.8000 0.1488
1.1000 2.9000 0.1438
1.1000 3.0000 0.1352
1.1000 3.1000 0.1380
1.1000 3.2000 0.1409
1.1000 3.3000 0.1422
1.1000 3.4000 0.1376
1.1000 3.5000 0.1430
1.1000 3.6000 0.1340
1.1000 3.7000 0.1246
